id,title,abstract,categories,authors,keywords,topic
704.2868,Large components in random induced subgraphs of n-cubes,"  In this paper we study random induced subgraphs of the binary $n$-cube,
$Q_2^n$. This random graph is obtained by selecting each $Q_2^n$-vertex with
independent probability $\lambda_n$. Using a novel construction of
subcomponents we study the largest component for
$\lambda_n=\frac{1+\chi_n}{n}$, where $\epsilon\ge \chi_n\ge n^{-{1/3}+
\delta}$, $\delta>0$. We prove that there exists a.s. a unique largest
component $C_n^{(1)}$. We furthermore show that $\chi_n=\epsilon$, $|
C_n^{(1)}|\sim \alpha(\epsilon) \frac{1+\chi_n}{n} 2^n$ and for $o(1)=\chi_n\ge
n^{-{1/3}+\delta}$, $| C_n^{(1)}| \sim 2 \chi_n \frac{1+\chi_n}{n} 2^n$ holds.
This improves the result of \cite{Bollobas:91} where constant $\chi_n=\chi$ is
considered. In particular, in case of $\lambda_n=\frac{1+\epsilon} {n}$, our
analysis implies that a.s. a unique giant component exists.
",math.CO; math.PR,Christian M. Reidys,epsilon; delta; component; unique; sim,0
704.2869,Studies on the Garnier system in two variables,"  We study some Hamiltonian structures of the Garnier system in two variables
from the viewpoints of its symmetry and holomorphy properties. We also give a
generalization of {\it Okamoto transformation \it}of the sixth Painlev\'e
system.
",math.AG,Yusuke Sasano,transformation; generalization; variables; hamiltonian; structures,5
704.287,"Blowing-ups describing the polarization change of moduli schemes of
  semistable sheaves of general rank","  Let $H$ and $H'$ be two ample line bundles over a smooth projective surface
$X$, and $M(H)$ (resp. $M(H')$) the coarse moduli scheme of $H$-semistable
(resp. $H'$-semistable) sheaves of fixed type $(r,c_1,c_2)$. We construct a
sequence of blowing-ups which describes how $M(H)$ differs from $M(H')$ not
only when $r=2$ but also when $r$ is arbitrary. Means we here utilize are
elementary transforms and the notion of a sheaf with flag.
",math.AG,Kimiko Yamada,moduli; notion; smooth; let; sequence,4
704.2871,"Complex dimensions of real manifolds, attached analytic discs and
  parametric argument principle","  Let $\Omega$ be a smooth real analytic submanifold of a complex manifold $X$.
We establish and study the link between the following 3 subjects: 1)
topological properties of smooth families of attached analytic discs, the
manifold $\Omega$ admits, 2) lower bounds for dimensions of complex tangent
spaces of $\Omega$, 3) a generalization of the argument principle for smooth
families of holomorphic mappings from the standard complex disc to $X$.
  In particular, we obtain characterization of complex manifolds and their
boundaries in terms of attached analytic discs. The special case when $\Omega$
is the graph, leads to new characterizations of holomorphic and $CR$ functions,
and in particular, to solutions of some open problems about such functions.
",math.CV,Mark Agranovsky,omega; complex; smooth; analytic; manifold,4
704.2872,Hypervelocity stars and the environment of Sgr A*,"  Hypervelocity stars (HVSs) are a natural consequence of the presence of a
massive nuclear black hole (Sgr A*) in the Galactic Center. Here we use the
Brown et al. sample of unbound and bound HVSs together with numerical
simulations of the propagation of HVSs in the Milky Way halo to constrain three
plausible ejection mechanisms: 1) the scattering of stars bound to Sgr A* by an
inspiraling intermediate-mass black hole (IMBH); 2) the disruption of stellar
binaries in the tidal field of Sgr A*; and 3) the two-body scattering of stars
off a cluster of stellar-mass black holes orbiting Sgr A*. We compare the
predicted radial and velocity distributions of HVSs with the limited-statistics
dataset currently available, and show that the IMBH model appears to produce a
spectrum of ejection velocities that is too flat. Future astrometric and deep
wide-field surveys of HVSs should shed unambiguous light on the stellar
ejection mechanism and probe the Milky Way potential on scales as large as 200
kpc.
",astro-ph,A. Sesana; F. Haardt; P. Madau,stellar; black; stars; bound; hole,9
704.2873,"Coupled Painlev\'e III system with affine Weyl group symmetry of type
  $D_6^{(1)}$","  We find and study a six-parameter family of coupled Painlev\'e III systems in
dimension six with affine Weyl group symmetry of type $D_6^{(1)}$. We also find
and study its degenerate systems with affine Weyl group symmetry of types
$B_5^{(1)}$ and $D_5^{(2)}$.
",math.AG,Yusuke Sasano,symmetry; group; systems; study; family,4
704.2874,"4U 0115+63 from RXTE and INTEGRAL Data: Pulse Profile and Cyclotron Line
  Energy","  We analyze the observations of the transient X-ray pulsar 4U 0115+63 with the
RXTE and INTEGRAL observatories in a wide X-ray (3-100 keV) energy band during
its intense outbursts in 1999 and 2004. The energy of the fundamental harmonic
of the cyclotron resonance absorption line near the maximum of the X-ray flux
from the source (luminosity range 5x10^{37} - 2x10^{38} erg/s) is ~11 keV. When
the pulsar luminosity falls below ~5x10^{37} erg/s, the energy of the
fundamental harmonic is displaced sharply toward the high energies, up to ~16
keV. Under the assumption of a dipole magnetic field configuration, this change
in cyclotron harmonic energy corresponds to a decrease in the height of the
emitting region by ~2 km, while other spectral parameters, in particular, the
cutoff energy, remain essentially constant. At a luminosity ~7x10^{37} erg/s,
four almost equidistant cyclotron line harmonics are clearly seen in the
spectrum. This suggests that either the region where the emission originates is
compact or the emergent spectrum from different (in height) segments of the
accretion column is uniform. We have found significant pulse profile variations
with energy, luminosity, and time. In particular, we show that the profile
variations from pulse to pulse are not reduced to a simple modulation of the
accretion rate specified by external conditions.
",astro-ph,"S.S. Tsygankov (1; 2); A.A. Lutovinov (1; 2); E.M. Churazov (2; 1); R.A.
  Sunyaev (2; 1) ((1) Space Research Institute; Moscow; Russia; (2) MPI for
  Astrophysik; Garching; Germany)",luminosity; energy; kev; harmonic; ray,7
704.2875,Phase String Theory for Doped Antiferromagnets,"  The recent developments of the phase string theory for doped antiferromagnets
will be briefly reviewed. Such theory is built upon a singular phase string
effect induced by the motion of holes in a doped antiferromagnet, which as a
precise property of the t-J model dictates the novel competition between the
charge and spin degrees of freedom. A global phase diagram including the
antiferromagnetic, superconducting, lower and upper pseudogap, and
high-temperature ""normal"" phases, as well as a series of anomalous physical
properties of these phases will be presented as the self-consistent and
systematic consequences of the phase string theory.
",cond-mat.str-el; cond-mat.supr-con,Zheng-Yu Weng,string; phase; phases; theory; singular,2
704.2876,"Characters of highest weight modules over affine Lie algebras are
  meromorphic functions","  We show that the characters of all highest weight modules over an affine Lie
algebra with the highest weight away from the critical hyperplane are
meromorphic functions in the positive half of Cartan subalgebra, their
singularities being at most simple poles at zeros of real roots. We obtain some
information about these singularities.
",math-ph; math.MP; math.RT,M. Gorelik; V. Kac,lie; half; algebra; positive; real,4
704.2877,Explicit Green functions for spin-orbit Hamiltonians,"  We derive explicit expressions for Green functions and some related
characteristics of the Rashba and Dresselhaus Hamiltonians with a uniform
magnetic field.
",math-ph; math.MP,Jochen Bruening; Vladimir Geyler; Konstantin Pankrashkin,expressions; uniform; characteristics; explicit; derive,8
704.2878,Dipole binding in a cosmic string background due to quantum anomalies,"  We propose quantum dynamics for the dipole moving in cosmic string background
and show that the classical scale symmetry of a particle moving in cosmic
string background is still restored even in the presence of dipole moment of
the particle. However, we show that the classical scale symmetry is broken due
to inequivalent quantization of the the non-relativistic system. The
consequence of this quantum anomaly is the formation of bound state in the
interval \xi\in(-1,1). The inequivalent quantization is characterized by a
1-parameter family of self-adjoint extension parameter \Sigma. We show that
within the interval \xi\in(-1,1), cosmic string with zero radius can bind the
dipole and the dipole does not fall into the singularity.
",hep-th; gr-qc,Pulak Ranjan Giri,dipole; string; cosmic; background; particle,3
704.2879,Helicity-type integral invariants for Hamiltonian systems,"  In this note, we consider generalizations of the asymptotic Hopf invariant,
or helicity, for Hamiltonian systems with one-and-a-half degrees of freedom and
symplectic diffeomorphisms of a two-disk to itself.
",math.DG; math.DS,Mikhail V. Deryabin,degrees; half; asymptotic; disk; hamiltonian,5
704.288,"Fuzzy Extra Dimensions: Dimensional Reduction, Dynamical Generation and
  Renormalizability","  We examine gauge theories defined in higher dimensions where theextra
dimensions form a fuzzy (finite matrix) manifold. First we reinterpret these
gauge theories as four-dimensional theories with Kaluza-Klein modes and then we
perform a generalized \`a la Forgacs-Manton dimensional reduction. We emphasize
some striking features emerging in the later case such as (i) the appearance of
non-abelian gauge theories in four dimensions starting from an abelian gauge
theory in higher dimensions, (ii) the fact that the spontaneous symmetry
breaking of the theory takes place entirely in the extra dimensions and (iii)
the renormalizability of the theory both in higher as well as in four
dimensions. Then reversing the above approach we present a renormalizable four
dimensional SU(N) gauge theory with a suitable multiplet of scalar fields,
which via spontaneous symmetry breaking dynamically develops extra dimensions
in the form of a fuzzy sphere. We explicitly find the tower of massive
Kaluza-Klein modes consistent with an interpretation as gauge theory on $M^4
\times S^2$, the scalars being interpreted as gauge fields on $S^2$. Depending
on the parameters of the model the low-energy gauge group can be of the form
$SU(n_1) \times SU(n_2) \times U(1)$.
",hep-th,P. Aschieri; H. Steinacker; J. Madore; P. Manousselis; G. Zoupanos,gauge; dimensions; theories; su; theory,5
704.2881,Current status of Japanese detectors,"  Current status of TAMA and CLIO detectors in Japan is reported in this
article. These two interferometric gravitational-wave detectors are being
developed for the large cryogenic gravitational wave telescope (LCGT) which is
a future plan for detecting gravitational wave signals at least once per year.
  TAMA300 is being upgraded to improve the sensitivity in low frequency region
after the last observation experiment in 2004. To reduce the seismic noises, we
are installing new seismic isolation system, which is called TAMA Seismic
Attenuation System, for the four test masses. We confirmed stable mass locks of
a cavity and improvements of length and angular fluctuations by using two SASs.
We are currently optimizing the performance of the third and fourth SASs. We
continue TAMA300 operation and R&D studies for LCGT. Next data taking in the
summer of 2007 is planned.
  CLIO is a 100-m baseline length prototype detector for LCGT to investigate
interferometer performance in cryogenic condition. The key features of CLIO are
that it locates Kamioka underground site for low seismic noise level, and
adopts cryogenic Sapphire mirrors for low thermal noise level. The first
operation of the cryogenic interferometer was successfully demonstrated in
February of 2006. Current sensitivity at room temperature is close to the
target sensitivity within a factor of 4. Several observation experiments at
room temperature have been done. Once the displacement noise reaches at thermal
noise level of room temperature, its improvement by cooling test mass mirrors
should be demonstrated.
",gr-qc,"Daisuke Tatsumi; Ryutaro Takahashi; Koji Arai; Noriyasu Nakagawa; Kazuhiro Agatsuma; Toshitaka Yamazaki; Mitsuhiro Fukushima; Masa-Katsu
  Fujimoto; Akiteru Takamori; Alessandro Bertolini; Virginio Sannibale; Riccardo DeSalvo; Szabolcs Marka; Masaki Ando; Kimio Tsubono; Tomomi Akutsu; Kazuhiro Yamamoto; Hideki Ishitsuka; Takashi Uchiyama; Shinji Miyoki; Masatake Ohashi; Kazuaki Kuroda; Norichika Awaya; Nobuyuki Kanda; Akito
  Araya; Souichi Telada; Takayuki Tomaru; Tomiyoshi Haruyama; Akira Yamamoto; Nobuaki Sato; Toshitaka Suzuki and Takakazu Shintomi",noise; sensitivity; gravitational; wave; level,2
704.2882,2MASS Reveals a Large Intrinsic Fraction of BALQSOs,"  The intrinsic fraction of broad absorption line quasars (BALQSOs) is
important in constraining geometric and evolutionary models of quasars. We
present the fraction of BALQSOs in 2MASS detected quasars within the SDSS DR3
sample in the redshift range of 1.7 < z < 4.38. The fraction of BALQSOs is
40.4^{+3.4}_{-3.3}% in the 2MASS 99% database K_s band completeness sample, and
38.5^{+1.7}_{-1.7}% in the larger 2MASS sample extending below the completeness
limit. These fractions are significantly higher than the 26% reported in the
optical bands for the same parent sample. We also present the fraction of
BALQSOs as functions of apparent magnitudes, absolute magnitudes, and redshift
in the 2MASS and SDSS bands. The 2MASS fractions are consistently higher than
the SDSS fractions in every comparison, and the BALQSO fractions steadily
increase with wavelength from the SDSS u to the 2MASS K_s bands. Furthermore,
the i - K_s color distributions of BALQSOs and non-BALQSOs indicate that
BALQSOs are redder than non-BALQSOs, with a K-S test probability of 2e-12.
These results are consistent with the spectral difference between BALQSOs and
non-BALQSOs including both the absorption troughs and dust extinction in
BALQSOs, which leads to significant selection biases against BALQSOs in the
optical bands. Using a simple simulation incorporating the luminosity function
of quasars and the amount of obscuration for BALQSOs, we simultaneously fit the
BALQSO fractions in the SDSS and 2MASS bands. We obtain a true BALQSO fraction
of 43\pm2% for luminous quasars (M_{K_s} \lesssim -30.1 mag).
",astro-ph,"Xinyu Dai; Francesco Shankar; and Gregory R. Sivakoff (Ohio State
  Univ.)",bands; fraction; sample; absorption; redshift,7
704.2883,"A physicist's view of the notion of ""racism""","  It is not uncommon, e.g. in the media, that specific groups are categorized
as being racist. Based on an extensive dataset of intermarriage statistics our
study questions the legitimacy of such characterizations. It suggests that, far
from being group-dependent, segregation mechanisms are instead
situation-dependent. More precisely, the degree of integration of a minority in
terms of the frequency of intermarriage is seen to crucially depend upon the
the proportion p of the minority. Thus, a population may have a segregative
behavior with respect to a high-p (p>20%) minority A and at the same time a
tolerant attitude toward a low-p (p<2%) minority B. This remains true even when
A and B represent the same minority; for instance Black-White intermarriage is
much more frequent in Montana than it is in South Carolina. In short, the
nature of minority groups is largely irrelevant, the key factor being their
proportion in a given area.
",physics.soc-ph,Charles Jego; Bertrand M. Roehner,groups; dependent; white; statistics; area,9
704.2884,Higher Nilpotent Analogues of A-infinity Structure,"  Higher nilpotent analogues of the $A-\infty$-structure are explicitly defined
on arbitrary simplicial complexes, generalizing explicit construction of
/hep-th/0704.2609. These structures are associated with the higher nilpotent
differential $d_n$, satisfying $d_n^n =0$, which is naturally defined on
triangulated manifolds (tetrahedral lattices). The deformation $D_n = (I +
\epsilon_n) d_n (I + \epsilon_n)^{-1}$ is defined with the help of the
$n$-versions of discrete exterior product $\wedge_n$ and the $K_n$-operator.
",hep-th; math.GT,V.Dolotin; A.Morozov and Sh.Shakirov,defined; higher; infty; manifolds; naturally,4
704.2885,Convex comparison of service disciplines in real time queues,"  We present a comparison of the service disciplines in real-time queueing
systems (the customers have a deadline before which they should enter the
service booth). We state that giving priority to customers having an early
deadline minimizes the average stationary lateness. We show this result by
comparing adequate random vectors with the Schur-Convex majorization ordering.
",math.PR,Pascal Moyal,stationary; early; comparison; average; real,0
704.2886,Control of mechanical systems on Lie groups and ideal hydrodynamics,"  In contrast to the Euler-Poincar{\'e} reduction of geodesic flows of left- or
right-invariant metrics on Lie groups to the corresponding Lie algebra (or its
dual), one can consider the reduction of the geodesic flows to the group
itself. The reduced vector field has a remarkable hydrodynamic interpretation:
it is a velocity field for a stationary flow of an ideal fluid. Right- or
left-invariant symmetry fields of the reduced field define vortex manifolds for
such flows.
  Consider now a mechanical system, whose configuration space is a Lie group
and whose Lagrangian is invariant to left translations on that group, and
assume that the mass geometry of the system may change under the action of
internal control forces. Such system can also be reduced to the Lie group. With
no controls, this mechanical system describes a geodesic flow of the
left-invariant metric, given by the Lagrangian, and thus its reduced flow is a
stationary ideal fluid flow on the Lie group. The standard control problem for
such system is to find the conditions, under which the system can be brought
from any initial position in the configuration space to another preassigned
position by changing its mass geometry. We show that under these conditions, by
changing the mass geometry, one can also bring one vortex manifold to any other
preassigned vortex manifold.
",math.OC; math.DS,Mikhail V. Deryabin,lie; group; reduced; flow; invariant,4
704.2887,"$uvby-H_\beta$ CCD photometry and membership segregation of the open
  cluster NGC2682 (M67)","  Following deep astrometric and photometric study of the cluster NGC2682
(M67), we are able to accurately determine its fundamental parameters. Being an
old and rich cluster, M67 is a relevant object for the analysis of the Galactic
disk evolution. M67 is well studied but the lack of a wide and deep Stromgren
photometric study makes our results worthwhile. The brightest stars of the open
cluster M67 were used as uvby-Hbeta standard stars in our studies of NGC1817
and NGC2548, and the extension of the field covered, as well as the amount of
observations, allowed to obtain the best set of Stromgren data ever published
for this cluster. We discuss the results of our CCD uvby-Hbeta
intermediate-band photometry, covering an area of about 50'x50' down to V 19.
Moreover, a complete membership segregation based on astrometric and
photometric criteria is obtained. The photometric analysis of a selected sample
of stars yields a reddening value of E(b-y)= 0.03\pm0.03, a distance modulus of
V_0-M_V= 9.7\pm0.2 and [Fe/H]= 0.01\pm0.14. Through isochrone fitting we found
an age of log t= 9.6\pm0.1 (4.2\pm0.2 Gyr). A clump of approximately 60 stars
around V= 16, (b-y)= 0.4 could be interpreted as a population of
pre-cataclysmic variable stars (if members), or as a stream of field G-type
stars placed at twice the distance of the cluster (if non-members).
",astro-ph,"L. Balaguer-N\'u\~nez (1; 2; 3); D. Galad\'i-Enr\'iquez (4); C. Jordi
  (1; 5) ((1)UB Spain; (2)SHAO China; (3) IoA Cambridge UK; (4) IAA Spain; (5) IEEC
  Spain)",stars; cluster; deep; distance; analysis,1
704.2888,The Extragalactic Gamma Ray Background,"  One way to understand the nonthermal history of the universe is by
establishing the origins of the unresolved and truly diffuse extragalactic
gamma rays. Dim blazars and radio/gamma galaxies certainly make an important
contribution to the galactic gamma-ray background given the EGRET discoveries,
and previous treatments are reviewed and compared with a new analysis. Studies
of the gamma-ray intensity from cosmic rays in star-forming galaxies and from
structure formation shocks, as well as from dim GRBs, are briefly reviewed. A
new hard gamma-ray source class seems required from the predicted aggregate
intensity compared with the measured intensity.
",astro-ph,Charles D. Dermer (NRL),gamma; intensity; ray; rays; galaxies,7
704.2889,"Stability of marginally outer trapped surfaces and existence of
  marginally outer trapped tubes","  The present work extends our short communication Phys. Rev. Lett. 95, 111102
(2005). For smooth marginally outer trapped surfaces (MOTS) in a smooth
spacetime we define stability with respect to variations along arbitrary
vectors v normal to the MOTS. After giving some introductory material about
linear non self-adjoint elliptic operators, we introduce the stability operator
L_v and we characterize stable MOTS in terms of sign conditions on the
principal eigenvalue of L_v. The main result shows that given a strictly stable
MOTS S contained in one leaf of a given reference foliation in a spacetime,
there is an open marginally outer trapped tube (MOTT), adapted to the reference
foliation, which contains S. We give conditions under which the MOTT can be
completed. Finally, we show that under standard energy conditions on the
spacetime, the MOTT must be either locally achronal, spacelike or null.
",gr-qc,Lars Andersson; Marc Mars; Walter Simon,spacetime; conditions; smooth; stability; stable,5
704.289,Quantum p-adic spaces and quantum p-adic groups,"  We discuss examples of non-commutative spaces over non-archimedean fields.
Those include non-commutative and quantum affinoid algebras, quantized K3
surfaces and quantized locally analytic p-adic groups.
",math.QA; hep-th; math.AG; math.RA; math.RT,Yan Soibelman,non; locally; surfaces; algebras; analytic,3
704.2891,Schwartz functions on Nash manifolds,"  In this paper we extend the notions of Schwartz functions, tempered functions
and generalized Schwartz functions to Nash (i.e. smooth semi-algebraic)
manifolds. We reprove for this case classically known properties of Schwartz
functions on $R^n$ and build some additional tools which are important in
representation theory.
",math.AG; math.RT,Avraham Aizenbud and Dmitry Gourevitch,functions; manifolds; semi; algebraic; extend,5
704.2892,"Spin-isospin nuclear response using the existing microscopic Skyrme
  functionals","  Our paper aims at providing an answer to the question whether one can
reliably describe the properties of the most important spin-isospin nuclear
excitations, by using the available non-relativistic Skyrme energy functionals.
Our method, which has been introduced in a previous publication devoted to the
Isobaric Analog states, is the self-consistent Quasiparticle Random Phase
Approximation (QRPA). The inclusion of pairing is instrumental for describing a
number of experimentally measured spherical systems which are characterized by
open shells. We discuss the effect of isoscalar and isovector pairing
correlations. Based on the results for the Gamow-Teller resonance in $^{90}$Zr,
in $^{208}$Pb and in few Sn isotopes, we draw definite conclusions on the
performance of different Skyrme parametrizations, and we suggest improvements
for future fits. We also use the spin-dipole resonance as a benchmark of our
statements.
",nucl-th,Sara Fracasso and Gianluca Colo',resonance; spin; sn; dipole; spherical,2
704.2893,Wetting transition on a one-dimensional disorder,"  We consider wetting of a one-dimensional random walk on a half-line $x\ge 0$
in a short-ranged potential located at the origin $x=0$. We demonstrate
explicitly how the presence of a quenched chemical disorder affects the
pinning-depinning transition point. For small disorders we develop a
perturbative technique which enables us to compute explicitly the averaged
temperature (energy) of the pinning transition. For strong disorder we compute
the transition point both numerically and using the renormalization group
approach. Our consideration is based on the following idea: the random
potential can be viewed as a periodic potential with the period $n$ in the
limit $n\to\infty$. The advantage of our approach stems from the ability to
integrate exactly over all spatial degrees of freedoms in the model and to
reduce the initial problem to the analysis of eigenvalues and eigenfunctions of
some special non-Hermitian random matrix with disorder--dependent diagonal and
constant off-diagonal coefficients. We show that even for strong disorder the
shift of the averaged pinning point of the random walk in the ensemble of
random realizations of substrate disorder is indistinguishable from the pinning
point of the system with preaveraged (i.e. annealed) Boltzmann weight.
",cond-mat.stat-mech; cond-mat.dis-nn,D.M. Gangardt; S.K. Nechaev,random; point; transition; potential; explicitly,2
704.2894,"Measurement of density correlations in pseudorapidity via charged
  particle multiplicity fluctuations in Au+Au collisions at sqrt(s_NN)=200 GeV","  Longitudinal density correlations of produced matter in Au+Au collisions at
sqrt(s_NN)=200 GeV have been measured from the inclusive charged particle
distributions as a function of pseudorapidity window sizes. The extracted
\alpha \xi parameter, related to the susceptibility of the density fluctuations
in the long wavelength limit, exhibits a non-monotonic behavior as a function
of the number of participant nucleons, N_part. A local maximum is seen at
N_part ~ 90, with corresponding energy density based on the Bjorken picture of
\epsilon_Bj \tau ~ 2.4 GeV/(fm^2 c) with a transverse area size of 60 fm^2.
This behavior may suggest a critical phase boundary based on the
Ginzburg-Landau framework.
",nucl-ex,PHENIX Collaboration; S.S. Adler; et al,au; density; gev; behavior; function,6
704.2895,Discrete and Continuum Quantum Gravity,"  I review discrete and continuum approaches to quantized gravity based on the
covariant Feynman path integral approach.
",hep-th; gr-qc,Herbert W. Hamber,path; approaches; discrete; continuum; review,5
704.2896,"Considering the Case for Biodiversity Cycles: Reexamining the Evidence
  for Periodicity in the Fossil Record","  Medvedev and Melott (2007) have suggested that periodicity in fossil
biodiversity may be induced by cosmic rays which vary as the Solar System
oscillates normal to the galactic disk. We re-examine the evidence for a 62
million year (Myr) periodicity in biodiversity throughout the Phanerozoic
history of animal life reported by Rohde & Mueller (2005), as well as related
questions of periodicity in origination and extinction. We find that the signal
is robust against variations in methods of analysis, and is based on
fluctuations in the Paleozoic and a substantial part of the Mesozoic.
Examination of origination and extinction is somewhat ambiguous, with results
depending upon procedure. Origination and extinction intensity as defined by RM
may be affected by an artifact at 27 Myr in the duration of stratigraphic
intervals. Nevertheless, when a procedure free of this artifact is implemented,
the 27 Myr periodicity appears in origination, suggesting that the artifact may
ultimately be based on a signal in the data. A 62 Myr feature appears in
extinction, when this same procedure is used. We conclude that evidence for a
periodicity at 62 Myr is robust, and evidence for periodicity at approximately
27 Myr is also present, albeit more ambiguous.
",q-bio.PE; astro-ph; physics.geo-ph,Bruce S.Lieberman and Adrian L. Melott (University of Kansas),procedure; evidence; appears; signal; based,7
704.2897,A 2-generated 2-related group with no non-trivial finite factors,"  We construct a 2-generated 2-related group without non-trivial finite
factors. That answers a question of J. Button.
",math.GR; math.GT,A.Yu. Ol'shanskii; M.V. Sapir,factors; question; generated; construct; related,4
704.2898,Green's function of a finite chain and the discrete Fourier transform,"  A new expression for the Green's function of a finite one-dimensional lattice
with nearest neighbor interaction is derived via discrete Fourier transform.
Solution of the Heisenberg spin chain with periodic and open boundary
conditions is considered as an example. Comparison to Bethe ansatz clarifies
the relation between the two approaches.
",math-ph; math.MP,S. Cojocaru,expression; chain; approaches; periodic; discrete,2
704.2899,Some group theory problems,"  This is a survey of some problems in geometric group theory which I find
interesting. The problems are from different areas of group theory. Each
section is devoted to problems in one area. It contains an introduction where I
give some necessary definitions and motivations, problems and some discussions
of them. For each problem, I try to mention the author. If the author is not
given, the problem, to the best of my knowledge, was formulated by me first.
",math.GR; math.GT,M. V. Sapir,problems; group; problem; theory; area,5
704.29,Higher-order theories,"  We extend our approach to abstract syntax (with binding constructions)
through modules and linearity. First we give a new general definition of arity,
yielding the companion notion of signature. Then we obtain a modularity result
as requested by Ghani and Uustalu (2003): in our setting, merging two
extensions of syntax corresponds to building an amalgamated sum. Finally we
define a natural notion of equation concerning a signature and prove the
existence of an initial semantics for a so-called representable signature
equipped with a set of equations.
",cs.LO,Andre' Hirschowitz and Marco Maggesi,notion; definition; sum; extend; define,5
704.2901,On weakly convex star-shaped polyhedra,"  Weakly convex polyhedra which are star-shaped with respect to one of their
vertices are infinitesimally rigid. This is a partial answer to the question
whether every decomposable weakly convex polyhedron is infinitesimally rigid.
The proof uses a recent result of Izmestiev on the geometry of convex caps.
",math.MG; math.DG,Jean-Marc Schlenker,partial; question; proof; geometry; respect,1
704.2902,Recommending Related Papers Based on Digital Library Access Records,"  An important goal for digital libraries is to enable researchers to more
easily explore related work. While citation data is often used as an indicator
of relatedness, in this paper we demonstrate that digital access records (e.g.
http-server logs) can be used as indicators as well. In particular, we show
that measures based on co-access provide better coverage than co-citation, that
they are available much sooner, and that they are more accurate for recent
papers.
",cs.DL; cs.IR,Stefan Pohl; Filip Radlinski and Thorsten Joachims,used; measures; accurate; explore; better,0
704.2903,Entangled games are hard to approximate,"  We establish the first hardness results for the problem of computing the
value of one-round games played by a verifier and a team of provers who can
share quantum entanglement. In particular, we show that it is NP-hard to
approximate within an inverse polynomial the value of a one-round game with (i)
quantum verifier and two entangled provers or (ii) classical verifier and three
entangled provers. Previously it was not even known if computing the value
exactly is NP-hard. We also describe a mathematical conjecture, which, if true,
would imply hardness of approximation to within a constant.
  We start our proof by describing two ways to modify classical multi-prover
games to make them resistant to entangled provers. We then show that a strategy
for the modified game that uses entanglement can be ``rounded'' to one that
does not. The results then follow from classical inapproximability bounds. Our
work implies that, unless P=NP, the values of entangled-prover games cannot be
computed by semidefinite programs that are polynomial in the size of the
verifier's system, a method that has been successful for more restricted
quantum games.
",quant-ph,"Julia Kempe; Hirotada Kobayashi; Keiji Matsumoto; Ben Toner; Thomas
  Vidick",value; classical; entanglement; hard; polynomial,3
704.2904,The spectral laws of Hermitian block-matrices with large random blocks,"  We are going to study the limiting spectral measure of fixed dimensional
Hermitian block-matrices with large dimensional Wigner blocks. We are going
also to identify the limiting spectral measure when the Hermitian
block-structure is Circulant. Using the limiting spectral measure of a
Hermitian Circulant block-matrix we will show that the spectral measure of a
Wigner matrix with $k-$weakly dependent entries need not to be the semicircle
law in the limit.
",math.PR,Tamer Oraby,measure; spectral; matrix; dimensional; matrices,7
704.2905,Supersymmetric Vector Multiplets in Non-Adjoint Representations of SO(N),"  In the conventional formulation of N=1 supersymmetry, a vector multiplet is
supposed to be in the adjoint representation of a given gauge group. We present
a new formulation with a vector multiplet in the non-adjoint representation of
SO(N) gauge group. Our basic algebra is [ T^I, T^J ] = f^{I J K} T^K, [ T^I,
U^i ] = - (T^I)^{i j} U^j, [ U^i, U^j ] = - (T^I)^{i j} T^I, where T^I are the
generators of SO(N), while U^i are the new 'generators' in certain non-adjoint
real representation R of SO(N). We use here the word `generator' in the broader
sense of the word. Such a representation can be any real representation of
SO(N) with the positive definite metric, satisfying (T^I)^{i j} = - (T^I)^{j i}
and (T^I)^{[ i j |} (T^I)^{| k ] l} \equiv 0. The first non-trivial examples
are the spinorial 8_S and conjugate spinorial 8_C representations of SO(8)
consistent with supersymmetry. We further couple the system to chiral
multiplets, and show that a Higgs mechanism can give positive definite (mass)^2
to the new gauge fields for U^i. We show an analogous system working with N=1
supersymmetry in 10D, and thereby N=4 system in 4D interacting with extra
multiplets in the representation R. We also perform superspace reformulation as
an independent confirmation.
",hep-th,Hitoshi Nishino and Subhash Rajpoot,representation; gauge; formulation; new; non,4
704.2906,Pulsar radiation belts and transient radio emission,"  It is proposed that radiation belts similar to the ones in the planetary
magnetosphere can exist for a pulsar with a relatively long period and a strong
magnetic field. In the belts located in the closed field line region near the
light cylinder relativistic pairs are trapped and maintained at a density
substantially higher than the local Goldreich-Julian corotation density. The
trapped plasma can be supplied and replenished by either direct injection of
relativistic pairs from acceleration of externally-supplied particles in a
dormant outer gap or in situ ionization of the accreted neutral material in the
trapping region. The radiation belts can be disrupted by waves that are excited
in the region as the result of plasma instabilities or emitted from the surface
due to starquakes or stellar oscillations. The disruption can cause an
intermittent particle precipitation toward the star producing radio bursts. It
is suggested that such bursts may be seen as rotating radio transients (RRATs).
",astro-ph,Q. Luo; D. B. Melrose,region; plasma; pairs; radio; relativistic,8
